Title,Duration,Genre,Released,Link
The Shawshank Redemption ,2h 22min,Drama,"14 October 1994 (USA)
",https://www.imdb.com/title/tt0111161/
Terminator 2: Judgment Day ,2h 17min,Action,"3 July 1991 (USA)
",https://www.imdb.com/title/tt0103064/
Once Upon a Time in the West ,2h 45min,Western,"4 July 1969 (USA)
",https://www.imdb.com/title/tt0064116/
Grave of the Fireflies ,1h 29min,Animation,"26 July 1989 (USA)
",https://www.imdb.com/title/tt0095327/
Cinema Paradiso ,2h 35min,Drama,"23 February 1990 (USA)
",https://www.imdb.com/title/tt0095765/
Casablanca ,1h 42min,Drama,"23 January 1943 (USA)
",https://www.imdb.com/title/tt0034583/
Back to the Future ,1h 56min,Adventure,"3 July 1985 (USA)
",https://www.imdb.com/title/tt0088763/
Psycho ,1h 49min,Horror,"8 September 1960 (USA)
",https://www.imdb.com/title/tt0054215/
The Lion King ,1h 28min,Animation,"24 June 1994 (USA)
",https://www.imdb.com/title/tt0110357/
The Intouchables ,1h 52min,Biography,"2 November 2011 (France)
",https://www.imdb.com/title/tt1675434/
The Prestige ,2h 10min,Drama,"20 October 2006 (USA)
",https://www.imdb.com/title/tt0482571/
Whiplash ,1h 46min,Drama,"15 October 2014 (Philippines)
",https://www.imdb.com/title/tt2582802/
American History X ,1h 59min,Drama,"20 November 1998 (USA)
",https://www.imdb.com/title/tt0120586/
Léon: The Professional ,1h 50min,Action,"18 November 1994 (USA)
",https://www.imdb.com/title/tt0110413/
The Usual Suspects ,1h 46min,Crime,"16 August 1995 (USA)
",https://www.imdb.com/title/tt0114814/
The Pianist ,2h 30min,Biography,"28 March 2003 (USA)
",https://www.imdb.com/title/tt0253474/
The Departed ,2h 31min,Crime,"6 October 2006 (USA)
",https://www.imdb.com/title/tt0407887/
Gladiator ,2h 35min,Action,"5 May 2000 (USA)
",https://www.imdb.com/title/tt0172495/
It's a Wonderful Life ,2h 10min,Drama,"7 January 1947 (USA)
",https://www.imdb.com/title/tt0038650/
Joker ,2h 2min,Crime,"4 October 2019 (USA)
",https://www.imdb.com/title/tt7286456/
Reservoir Dogs ,1h 39min,Crime,"2 September 1992 (France)
",https://www.imdb.com/title/tt0105236/
Star Wars: Episode IV - A New Hope ,2h 1min,Action,"25 May 1977 (USA)
",https://www.imdb.com/title/tt0076759/
Toy Story ,1h 21min,Animation,"22 November 1995 (USA)
",https://www.imdb.com/title/tt0114709/
Full Metal Jacket ,1h 56min,Drama,"10 July 1987 (USA)
",https://www.imdb.com/title/tt0093058/
Seven Samurai ,3h 27min,Action,"19 November 1956 (USA)
",https://www.imdb.com/title/tt0047478/
Anand ,2h 2min,Drama,"12 March 1971 (India)
",https://www.imdb.com/title/tt0066763/
The Silence of the Lambs ,1h 58min,Crime,"14 February 1991 (USA)
",https://www.imdb.com/title/tt0102926/
Braveheart ,2h 58min,Biography,"24 May 1995 (USA)
",https://www.imdb.com/title/tt0112573/
Children of Heaven ,1h 29min,Drama,"22 January 1999 (USA)
",https://www.imdb.com/title/tt0118849/
Inglourious Basterds ,2h 33min,Adventure,"21 August 2009 (USA)
",https://www.imdb.com/title/tt0361748/
The Bandit ,2h 8min,Crime,"29 November 1996 (Turkey)
",https://www.imdb.com/title/tt0116231/
Amélie ,2h 2min,Comedy,"8 February 2002 (USA)
",https://www.imdb.com/title/tt0211915/
Good Will Hunting ,2h 6min,Drama,"9 January 1998 (USA)
",https://www.imdb.com/title/tt0119217/
Requiem for a Dream ,1h 42min,Drama,"15 December 2000 (USA)
",https://www.imdb.com/title/tt0180093/
American Beauty ,2h 2min,Drama,"1 October 1999 (USA)
",https://www.imdb.com/title/tt0169547/
Toy Story 3 ,1h 43min,Animation,"18 June 2010 (USA)
",https://www.imdb.com/title/tt0435761/
Snatch ,1h 42min,Comedy,"19 January 2001 (USA)
",https://www.imdb.com/title/tt0208092/
Eternal Sunshine of the Spotless Mind ,1h 48min,Drama,"19 March 2004 (USA)
",https://www.imdb.com/title/tt0338013/
Incendies ,2h 11min,Drama,"12 January 2011 (France)
",https://www.imdb.com/title/tt1255953/
My Father and My Son ,1h 52min,Drama,"18 November 2005 (Turkey)
",https://www.imdb.com/title/tt0476735/
1917 ,1h 59min,Drama,"10 January 2020 (USA)
",https://www.imdb.com/title/tt8579674/
A Separation ,2h 3min,Drama,"16 March 2011 (Iran)
",https://www.imdb.com/title/tt1832382/
Indiana Jones and the Last Crusade ,2h 7min,Action,"24 May 1989 (USA)
",https://www.imdb.com/title/tt0097576/
The Hunt ,1h 55min,Drama,"10 January 2013 (Denmark)
",https://www.imdb.com/title/tt2106476/
Die Hard ,2h 12min,Action,"20 July 1988 (USA)
",https://www.imdb.com/title/tt0095016/
The Great Dictator ,2h 5min,Comedy,"7 March 1941 (USA)
",https://www.imdb.com/title/tt0032553/
Andhadhun ,2h 19min,Crime,"5 October 2018 (USA)
",https://www.imdb.com/title/tt8108198/
My Neighbor Totoro ,1h 26min,Animation,"13 July 1990 (USA)
",https://www.imdb.com/title/tt0096283/
Casino ,2h 58min,Crime,"22 November 1995 (USA)
",https://www.imdb.com/title/tt0112641/
Unforgiven ,2h 10min,Drama,"7 August 1992 (USA)
",https://www.imdb.com/title/tt0105695/
L.A. Confidential ,2h 18min,Crime,"19 September 1997 (USA)
",https://www.imdb.com/title/tt0119488/
Heat ,2h 50min,Crime,"15 December 1995 (USA)
",https://www.imdb.com/title/tt0113277/
Downfall ,2h 36min,Biography,"8 April 2005 (USA)
",https://www.imdb.com/title/tt0363163/
Pan's Labyrinth ,1h 58min,Drama,"19 January 2007 (USA)
",https://www.imdb.com/title/tt0457430/
Howl's Moving Castle ,1h 59min,Animation,"17 June 2005 (USA)
",https://www.imdb.com/title/tt0347149/
Rang De Basanti ,2h 47min,Comedy,"26 January 2006 (USA)
",https://www.imdb.com/title/tt0405508/
Swades ,3h 9min,Drama,"17 December 2004 (India)
",https://www.imdb.com/title/tt0367110/
A Beautiful Mind ,2h 15min,Biography,"4 January 2002 (USA)
",https://www.imdb.com/title/tt0268978/
"Lock, Stock and Two Smoking Barrels ",1h 47min,Action,"28 August 1998 (UK)
",https://www.imdb.com/title/tt0120735/
Batman Begins ,2h 20min,Action,"15 June 2005 (USA)
",https://www.imdb.com/title/tt0372784/
There Will Be Blood ,2h 38min,Drama,"25 January 2008 (USA)
",https://www.imdb.com/title/tt0469494/
V for Vendetta ,2h 12min,Action,"17 March 2006 (USA)
",https://www.imdb.com/title/tt0434409/
Memories of Murder ,2h 12min,Action,"2 May 2003 (South Korea)
",https://www.imdb.com/title/tt0353969/
Up ,1h 36min,Animation,"29 May 2009 (USA)
",https://www.imdb.com/title/tt1049413/
The Wolf of Wall Street ,3h,Biography,"25 December 2013 (USA)
",https://www.imdb.com/title/tt0993846/
Million Dollar Baby ,2h 12min,Drama,"28 January 2005 (USA)
",https://www.imdb.com/title/tt0405159/
Kill Bill: Vol. 1 ,1h 51min,Action,"10 October 2003 (USA)
",https://www.imdb.com/title/tt0266697/
Hotel Rwanda ,2h 1min,Biography,"4 February 2005 (USA)
",https://www.imdb.com/title/tt0395169/
Shutter Island ,2h 18min,Mystery,"19 February 2010 (USA)
",https://www.imdb.com/title/tt1130884/
How to Train Your Dragon ,1h 38min,Animation,"26 March 2010 (USA)
",https://www.imdb.com/title/tt0892769/
Finding Nemo ,1h 40min,Animation,"30 May 2003 (USA)
",https://www.imdb.com/title/tt0266543/
No Country for Old Men ,2h 2min,Crime,"21 November 2007 (USA)
",https://www.imdb.com/title/tt0477348/
Gran Torino ,1h 56min,Drama,"9 January 2009 (USA)
",https://www.imdb.com/title/tt1205489/
Into the Wild ,2h 28min,Adventure,"19 October 2007 (USA)
",https://www.imdb.com/title/tt0758758/
Mary and Max ,1h 32min,Animation,"9 April 2009 (Australia)
",https://www.imdb.com/title/tt0978762/
Hachi: A Dog's Tale ,1h 33min,Drama,"12 March 2010 (UK)
",https://www.imdb.com/title/tt1028532/
Ford v Ferrari ,2h 32min,Action,"15 November 2019 (USA)
",https://www.imdb.com/title/tt1950186/
